"titles","texts","time.stamp","pushes"
"Re: [新聞] 和民進黨全面開戰？柯P：有給過機會、現在PTT每天1450 ","

就一個問題

撇開市政不說畢竟柯P跟韓總比市政

柯P還是能屌虐

問題其他部分有什麼差別

反對的都是小牙籤

跟反對的都是1450

媒體湊上來就開噴民進黨

親中言論都不能批評 批評就是抹紅



反正柯也還沒確定要選

感覺大家不如一起支持韓總

明年至少還能大聲說我們選的對象贏了

-----
Sent from JPTT on my iPhone

--
 ","Thu Jul 18 12:33:21 2019 ","噓 → → 推 推 → 推 推 → 推 → → 推 推 → → 推 推 → →  "
"[問卦] 台大醫公費跟中山醫自費要選？ ","
問一下喔，

如果可以選台大醫公費，跟中山醫自費，

應該要選那一間阿？

該為了面子選台大，

還是中山醫讀一讀就好？

--
 ","Thu Jul 18 12:33:39 2019 ","→ 推 推 → 推 → 推 推 推 噓 推 噓 → 推 推 推 噓 →  "
"[問卦] 少子化的原因有哪些？ ","
台灣這幾年出生人口越來越少
去年降至18萬，今年好像預測會低於17萬
也就是說死亡人數大於出生人數了

明明生小孩不是壞事，為什麼大家都不敢生小孩呢？
有沒有相關的八卦？

--
 ","Thu Jul 18 12:33:44 2019 ","→ → → → 推 噓 → 推 噓 推 推 推 → 推 噓 推 → → →  "
"Re: [新聞] 柯文哲再怒嗆蘇貞昌：有夠不要臉 ","

柯這批評蘇的策略很不理智 為何？

以往大家會在器捐案上同情柯
除了就人道立場上抹這個很髒以外
是因為大家“認可柯這個人”

他感覺比較單純 沒心機 政治素人
所以被政治抹黑時 感覺特別可憐

要是這個形象消失了呢？
那其實大家會把整件事
當成日常政治人物的口水

政治圈誰沒被抹黑過？

假設今天被抹器捐的是王世堅or蔡正元
說真的根本沒人會同情他們 搞不好還幸災樂禍
因為他們形象都太政客了

而柯現在批評蘇 有種拿器捐案亂噴的感覺
畢竟當年蘇連職位都沒有 他是選後才當行政院長的

這樣感覺他也是在玩政治口水 越來越政治化
清純光環也減弱 越來越引不起人們的同情

除此之外 除非你對政治冷感 又或是你是英黑
不然很多人漸漸發現
器捐案好像不是大家想得那麼簡單
至少不像是蔡指使的

吳祥輝還罵過蔡為政治淫婦
那就算器捐案的確是泛綠/台派的人指使的
也很顯然是站在蔡對立面的那群
更不要說 當時根本跟蘇沒啥關係

蘇當行政院長 滿意度53% 柯當市長 滿意度48% 最低甚至才38%
你攻擊一個滿意度頗高的人 只會造成反效果
耗損自己的形象而已


--

--
蔡擋到他的總統路 賴沒有 就這麼簡單

我還懷疑你是五毛咧 呵

我又不是DPP黨員 也不是1450網軍
DPP說不要抹干我什麼事  我想罵就罵啊
 ","Thu Jul 18 12:18:52 2019 ","→ 推 → → 推 推 → 噓 推 → → 推 推 → → 推 → → 推 → 推 → 推 → 推 → → 推 → 推 推 → → 推 → → → 噓 推 → 推 噓 → → 推 推 推 推 → 噓 → → → → 推 推 推 推 推 推 推 噓 → 推 推 推 推 推 噓 推 → → → 推 噓 → → 推 → → → → 推 推 → 推 → 推 推 推 推 推 推 推 推 → → 推 → → 推 推 → → → → → 推 → → → 噓 → 推 → → 推 → → 推 → 推 推 噓 推 推 → → → 推 →  "
"[新聞] 柯文哲既狠又辣！黃暐瀚：這是切割蔡韓 ","
聯合報 記者林文義

柯文哲！黃暐瀚：這是切割蔡韓的測試

台北市長柯文哲火力全開，火花四射，資深媒體人黃暐瀚表示，很多人問他「阿北會不會
選2020？」，他的答案很簡單，參選機率高達90%，但究竟要不要參戰？從今天開始往後
「一個月」，將是黃金關鍵期。
黃暐瀚整理柯文哲前天接受風傳媒的專訪，談到了幾個「爆炸性」的話題：

1、我恨小英。

2、韓國瑜書念不多，程度只能當到北農總經理。

3、韓流三支柱，深藍、三大家族跟Loser。

4、民調不領先第二名8%，我不會贏。

5、不會跟郭台銘搭，郭出來，我支持他就好了。

黃暐瀚說，柯文哲的談話既狠又辣，一秒鐘激怒「韓粉」，有人說，這策略對選情不利，
他倒認為，清楚切割「不會投柯」的族群，代表的意義，就是要測試在「蔡韓之外」，柯
文哲還能有多少「戰力」？

這個「戰力數值測試」，就是在思考是否參戰之前的最後評估，如果切割完蔡韓，還能有
一搏的可能，一個月後，加入戰局。

黃說，柯文哲的策略是險招，但也是唯一的一招。眼前形勢對柯不利，但柯可選，也可不
選，「試藥」的過程，可能帶來副作用，但萬一此藥有效，那就有機會，逆轉戰局。還是
那句話，猛藥下了，阿北到底選不選？一個月後，見真章。



--
 ","Thu Jul 18 12:19:23 2019 ","噓 → 推 → → → 噓 噓 推 → 噓 推 → → 推 噓 噓 推 → → 推 → 噓 → 推 推 → → → →  "
"[爆卦] 藍台中議員：交局拍爛影片 都林佳龍害的 ","

原來林佳龍可以指揮

盧秀燕的交通局長

胡志強的前交通局長

柯文哲的前交通局長



話說北屯區連出三個草包民代 盧秀燕→沈智慧→黃健豪






黃健豪-北屯漸好




最近，台中市交通局紅了！

交通局上傳了一支短片，裡面的舞蹈和歌曲，讓人看了滿滿的尷尬癌，參與其中的局長也
是既認真又尷尬，令人不忍。

BUT！

事出必有因，台中市交通局忙都忙死了，每天也都有交通局相關業務的會勘，經常在大太
陽底下為了幾個車位或紅綠燈爭論，怎麼會有時間、閒情逸致拍這個影片來逗大家笑呢？

如果真的要找原因，這件事情的始作俑者根本就是前台中市市長，現在的交通部林佳龍大
部長啊！

但可能是一些神秘的原因，許多縣市都拍了類似的影片，唯獨台中市的影片被特別關注，
幾個特定的粉專甚至還找出預算出，煞有其事的把年度的交通安全宣導計畫20萬，扭曲為
這支影片花20萬拍攝，引起許多網友及市民的不滿。

但這支影片，是局內的同仁自己拍的，成本為零，中央更沒有撥預算，所以這個讓交通局
同仁額外拍影片還被取笑的的慣老闆，就是中央部會的長官們。

所以，大家都年輕過，也被長官凹過，我實在覺得，不要為難拍這支影片的公務人員，而
是該去問問林佳龍部長，這個創意到底是哪來的？凹公務員拍零元短片推動交通安全，是
在消費公務員，還是羞辱交通部的專業？

那既然是中央政府的交通部要求各縣市政府交通局拍攝的舞蹈，衷心期盼，交通部長林佳
龍也跳一支舞給大家看，看看怎麼跳才不會尷尬，大家說好不好啊？

最後，感謝 臺中市政府交通局的小編，幫大家整理出部分縣市的影片...

【#交通部道安委員會】


【#台北市】


【#新北市】


【#新竹縣】


【#台南市】


#最近打字都會被吃字
#各地交通局當苦主
#林佳龍出來面對啦
#路口慢看停

--
 ","Thu Jul 18 12:20:23 2019 ","推 推 → 推 → → 噓 推 推 推 推 噓 推 → 噓 → 推 噓 → → → 噓 → 噓 推 推 噓 → 噓 推 →  "
"[問卦] 購物中心裡面有蘇聯人怎麼辦？ ","
我有個朋友在購物中心裡賣冰淇淋

後來不小心發現蘇聯人在購物中心裡

還挖了地下室進行秘密實驗

該怎麼辦啊？

有沒有掛？

--
 ","Thu Jul 18 12:21:00 2019 ","→ 噓 推 → → → 推 → 推 推  "
"[新聞] 回應柯文哲 蔡英文：在自己崗位上做最大 ","
回應柯文哲 蔡英文：在自己崗位上做最大努力






2019-07-18 11:44聯合報 記者林敬殷╱即時報導

針對台北市長柯文哲指總統蔡英文總統「老百姓講的話她也聽不懂太多，不然一例一休怎麼
會搞成這樣子」等語，目前正在聖露西亞出訪的蔡總統表示，任何政治人物都應該在現在崗
位上去做自己的工作，才不會辜負選民的託付和委託，應該在自己崗位上做最大的努力。
柯文哲日前接受媒體專訪時指出，蔡英文當總統沒有不好，但台灣也不會更好，且很多問題
在第二任期才會爆發。人在出訪友邦的，但柯文哲
又回擊，老百姓講的話她也聽不懂太多，「不然一例一休怎麼會搞成這樣子？」


蔡總統對此表示，她要再講一次，任何政治人物都應該在現在崗位上去做自己的工作，才不
會辜負選民託付和期待，應該在自己崗位上做最大的努力。


此外，有關獨派大老辜寬敏期待促成「蔡賴配」，蔡總統說，真的很感謝辜先生對民進黨對
民進黨關心，尤其對民進黨整合的關心，她會續努力，2020一定會推出最好的組合。



--
 ","Thu Jul 18 12:21:16 2019 ","→ 推 噓 → 推 → 噓 → → 噓 推 推 → → 噓 → → → → 噓 → → 噓 → 推 → 噓 推 噓 → 推 推 推 → → 推 推 → 推 →  "
"[新聞]綠營再逼柯P怒譙髒話！兩度連嗆蘇揆 ","

1.媒體來源: 蘋果日報


2.記者署名: 張博亭／台北報導


3.完整新聞標題:

綠營再逼柯P怒譙髒話！　兩度連嗆蘇揆「有夠不要臉」


4.完整新聞內文:

台北市長柯文哲近日砲火猛烈，左批藍右打綠，學者解讀是替參選總統鋪路，對中間選民
投其所好，柯今早受訪時，又再度對民進黨開砲。柯今早出席內科捐血活動，媒體問柯，
昨行政院長蘇貞昌稱柯曾講若去年市長連任，也會支持總統蔡英文連任，柯聽聞後怒嗆在
2018年市長選舉後，尤其又發生葛特曼事件，現在蘇貞昌這樣講，只能說「實在有夠不要
臉」、「我也不客氣回擊而已，「有夠不要臉」」。媒體追問柯是否跟民進黨全面開戰，
柯稱自己只是「禮尚往來」。

柯日前接受媒體專訪時，稱怨恨蔡英文，柯今表示他有給民進黨機會，韓流出現是有大環
境，為什麼人民會有這麼深的怨恨感，這是蔡英文執政要思考的題目。媒體問柯，民進黨
對他也是砲火全開，是否要毀掉他，柯表示每天PTT的1450(網軍)，看了也知道，不過這
也是促進產業發展。

蔡英文在國外出訪，稱柯文哲應該在現在的崗位上去做事，柯今被問到此事，再度動怒說
「今天如果蔡英文把總統的工作做好，會出現韓流嗎？妳自己總統都沒做好了」。

媒體問柯，要帶給台灣什麼希望？柯表示自己還是比較務實、實事求是，至少他在當台北
市長，很明顯貪汙案少掉、弊案少掉，哪裡像「他X的」慶富案、兆豐案，還不是一大堆
在發生，慶富案人在哪？跑光了，跟拉法葉艦不是一樣。

媒體問柯，砲打藍綠是否是參選總統的起手式？柯直言自己就是這個調調，他恢復本來的
樣子就好了。至於為何這時候恢復原本樣子？柯表示「很簡單啊！我已經豁出去了」。
（張博亭／台北報導）


5.完整新聞連結 (或短網址):


6.備註:
1450站粗乃 大家都是促進產業的一份子


--
 ","Thu Jul 18 12:22:08 2019 ","噓 推 → 噓 噓 噓 → 推 噓 噓 噓 噓 推 噓 噓 推 → → 推 → 噓 推 → 噓 → 噓 噓 推 噓 噓 噓 噓 → 噓 噓  "
"[問卦] 這種痛苦還要持續多久？ ","

肥宅我上周去貼三伏貼

貼完才知道不能喝冰涼飲料

幹

而且他說是整個療程都不能喝

肥宅我現在只能抱著室溫的飲料狂灌

有人知道這種痛苦還要持續多久嗎？

--


~ yes or yes ~ <3 ~

--
 ","Thu Jul 18 12:22:07 2019 ","→ 推 推 →  "
"[問卦] 國民年金需要繳交嗎? ","


欠繳的國民年金

一直被催繳

雖然只有幾千塊 但想到可能會被未來覺青砍掉 就不太爽繳

請問 大家都會繳嗎?

不繳會怎樣?




--
 ","Thu Jul 18 12:22:23 2019 ","→ 推 推 → → → 推 → → 推 → → → → → 噓 → → 推 → → → → 推 → 推 推 → → → → → 推 → → → → → → → → → → → → → → → → → → →  "
"[問卦] 丹娜絲不來台灣，是不是台男太噁太臭？ ","
正妹丹娜絲本來昨天要來台灣的

明明就已經這麼接近了

卻突然緊急轉彎！！？

是不是嗅到島上的台灣處男肥宅

太油、太臭、太噁

才緊急轉向烙跑的

有卦嗎？

--
 ","Thu Jul 18 12:22:24 2019 ","推 推 → → 推 推 推 推 推 推 推 推 → → 推 推 推 噓 推 推 推 噓 推 推 噓  "
"[新聞] 包括台灣新北與高雄市！Google 地圖共享單 ","

包括台灣新北與高雄市！Google 地圖共享單車即時資訊查詢功能於全球 24 個城市推出

滔新聞／跳跳虎（蔡漢威 / Hon-Wai Choy）

Google 今（17）日宣布 Google 地圖共享單車即時資訊查詢功能，於全球 16 個國家共 24 個城市推出。

美國紐約共享單車即時資訊查詢功能已經推行了一年，遊客和通勤人士可以透過 Google 地圖，即時查詢共享單車的站點位置，以及各站點目前可租賃輛數；現在這項功能已在 Android 和 iOS 版的 Google 地圖中推出，提供巴塞隆納、柏林、布魯塞爾、布達佩斯、芝加哥、都柏林、漢堡、赫爾辛基、高雄、倫敦、洛杉磯、里昂、馬德里、墨西哥市、蒙特婁、新北市、紐約市、里約熱內盧、舊金山灣區、聖保羅、多倫多、維也納、華沙、蘇黎世等大城市共享單車鳥瞰圖（未來將會有更多城市加入）。

--
 ","Thu Jul 18 12:23:11 2019 ","推 推 → 推  "
"Re: [新聞] 最近聽過最毒辣語言？ 林飛帆：畢業總要 ","
這就是逐字稿的重要了
柯文哲在講這句話的時候是站在林飛帆的立場 幫林飛帆緩頰
有人幫自己緩頰 卻反咬一口
說這是自己最近聽過最毒辣的語言
林飛帆實在讓人失望

[討論] 190714 柯文哲媒體受訪逐字稿



記者：林飛帆如果要接民進黨副祕書長
      你怎麼看這項人事安排



記者A：人家說要搶青年票
記者B：第一份工作就副祕書長



記者：所以他搶了青年票之後 你覺得民進黨
      會有機會拉到很多年輕族群的選票嗎



記者：他之前有狂罵民進黨 可是現在又當了副祕書長
      會不會覺得有點矛盾



(記者A：有罵過)
(記者B：他說前瞻計畫 就讓他們繼續墮落)





--
 ","Thu Jul 18 12:23:21 2019 ","→ → 推 → 噓 → → → 推 → → 推 → → → 推 → 推 推 推 推 推 推  "
"[問卦] 新聞幹嘛整天播選舉新聞的八掛> ","
我覺得新聞真的很無聊
偶爾播一下就好

整天反某人還是支持某人
播一大串~一直洗
台灣整天都在選舉

我們是沒有其他社會議題可以播了嗎?

我們是沒有其他環境議題可以播了嗎?

我們是沒有其他財經議題可以播了嗎?

我們是沒有其他民生議題可以播了嗎?

有沒有這新聞方面的八卦?

--


--
 ","Thu Jul 18 12:23:39 2019 ","推 → 推 推 → → 推 → → 推 → → → → 推 → → 推 → 推 → 推 → →  "
"[問卦] 幾歲沒交到女朋友就去嫖？ ","
安安

中午嚴肅話題，讓我們不要討論政治討論奶子。

肥宅魯弟母單即將進入24年

我想設一個停損點

可能三十歲吧


如果三十歲前還沒有交到女朋友，
反正剩下也是人家不要的，
不如大膽去嫖 過著孤獨一生的生活。


既然沒有女生要分享她的青春，
我也不想分享我的錢。


有沒有幾歲沒交到女朋友就去嫖的八卦？
大家覺得幾歲比較好？

--
立志當個瓦斯桶：
有事別人扛，不爽就爆炸！

--


可以
 ","Thu Jul 18 12:24:03 2019 ","→ → 推 推 → → 推 → 推 → 推 推 推 → 推 → 推 推 推 → 推 推 → → → 推 推 推 → → → 推 推 → 推 推  "
"Re: [新聞] 和民進黨全面開戰？柯P：有給過機會、現在PTT每天1450 ","

    跟屁眼俠的套路一致...

    一切對他的批評就是1450(韓黑)...

    我看我也知道(我用屁眼看你)...

    我們比較務實實事求是(苦民所苦)...

    DPP執政一大堆貪汙弊案(這三年台灣人民生活很苦)...

    總之就是先拉對立然後我是站在弱勢的一方...

    不過我大概看懂了韓seafood青出於藍的一點了...

    本以為柯seafood還沒找到他專屬的個人宗教台...

    但其實並不是的...

    他的邏輯當然遠遠勝過草包韓...

    可是草包韓一旦被問到關鍵處都能隨口謅個理由帶過...

    這就是社會大學厲害的地方...

    柯seafood的高智商卻反而讓他落入了直接以邏輯思考的慣性...



--

    是的...

    這兩隻其實都很滑頭...

    其實我認為當柯文哲拉他打吳音寧的時候...

    韓國瑜應該早揣測到柯文哲的心思了...

    特別後來捧他念了16年的書更可以確定柯其實也是在拉攏他...

    但一山還有一山高,,,


    這可以被支持者解讀成坦蕩蕩...

    其實有時候你越在對方的攻擊點上認真就輸了...

    倒不如心一橫裝死讓粉粉們去幫你凝聚支持...

 ","Thu Jul 18 12:24:34 2019 ","→ → 推 推 → → → → → 推 推 推 推 噓 → 推 推 推 推 → → → → → → → → → → → 推 → 推 → → → → → → → →  "
"Re: [新聞] 和民進黨全面開戰？柯P：有給過機會、現在PTT每天1450 ","

1450

4你媽啦

847 彭文正打你器捐

我他媽也很不爽 也是在PTT發文、回文表態挺你

結果現在那二個B央 都龜縮躲起來了

你不去靠北它們

卻反而說當初那群挺你的都是1450

柯韓一家親 不意外


柯P：韓粉大部分都是Loser

韓粉：讓我們來檢討英粉

--
我翻出2014年開始挺柯文章 你要怎樣 ?
這種複合式問題我們一個一個來 先針對你第一點質疑 再討論接下來的問題
 ","Thu Jul 18 12:24:41 2019 ","→ 推 → → → 推 推 推 → → → 推 噓 → → → → → → → → → → → → 噓 推  "
